,Border,Sector,State/Territory,Year & Type,Arrests,Year,Type
223,North,Blaine,"WA, OR",2011 (Mexicans Only),314.0,2011 ,Mexicans Only
224,North,Buffalo,"NY, PA",2011 (Mexicans Only),938.0,2011 ,Mexicans Only
225,North,Detroit,"OH, MI, IN, IL",2011 (Mexicans Only),1031.0,2011 ,Mexicans Only
226,North,Grand Forks,"WI, MN, ND",2011 (Mexicans Only),294.0,2011 ,Mexicans Only
227,North,Havre,MT,2011 (Mexicans Only),167.0,2011 ,Mexicans Only
228,North,Houlton,ME,2011 (Mexicans Only),5.0,2011 ,Mexicans Only
229,North,Spokane,"MT, ID, WA",2011 (Mexicans Only),234.0,2011 ,Mexicans Only
230,North,Swanton,"NH, VT, NY",2011 (Mexicans Only),162.0,2011 ,Mexicans Only
231,Southwest,Big Bend,TX,2011 (Mexicans Only),3621.0,2011 ,Mexicans Only
232,Southwest,Del Rio,TX,2011 (Mexicans Only),11697.0,2011 ,Mexicans Only
233,Southwest,El Centro,CA,2011 (Mexicans Only),29474.0,2011 ,Mexicans Only
234,Southwest,El Paso,"NM, TX",2011 (Mexicans Only),9633.0,2011 ,Mexicans Only
235,Southwest,Laredo,TX,2011 (Mexicans Only),29131.0,2011 ,Mexicans Only
236,Southwest,Rio Grande Valley,TX,2011 (Mexicans Only),38353.0,2011 ,Mexicans Only
237,Southwest,San Diego,CA,2011 (Mexicans Only),41281.0,2011 ,Mexicans Only
238,Southwest,Tucson,AZ,2011 (Mexicans Only),111974.0,2011 ,Mexicans Only
239,Southwest,Yuma,"CA, AZ",2011 (Mexicans Only),5416.0,2011 ,Mexicans Only
240,Coast,Miami,"FL, GA, SC, NC",2012 (All Illegal Immigrants),2509.0,2012 ,All Illegal Immigrants
241,Coast,New Orleans,"LA, AL, MS, FL",2012 (All Illegal Immigrants),474.0,2012 ,All Illegal Immigrants
242,Coast,Ramey,PR,2012 (All Illegal Immigrants),702.0,2012 ,All Illegal Immigrants
243,North,Blaine,"WA, OR",2012 (All Illegal Immigrants),537.0,2012 ,All Illegal Immigrants
244,North,Buffalo,"NY, PA",2012 (All Illegal Immigrants),1143.0,2012 ,All Illegal Immigrants
245,North,Detroit,"OH, MI, IN, IL",2012 (All Illegal Immigrants),950.0,2012 ,All Illegal Immigrants
246,North,Grand Forks,"WI, MN, ND",2012 (All Illegal Immigrants),418.0,2012 ,All Illegal Immigrants
247,North,Havre,MT,2012 (All Illegal Immigrants),102.0,2012 ,All Illegal Immigrants
248,North,Houlton,ME,2012 (All Illegal Immigrants),41.0,2012 ,All Illegal Immigrants
249,North,Spokane,"MT, ID, WA",2012 (All Illegal Immigrants),317.0,2012 ,All Illegal Immigrants
250,North,Swanton,"NH, VT, NY",2012 (All Illegal Immigrants),702.0,2012 ,All Illegal Immigrants
251,Southwest,Big Bend,TX,2012 (All Illegal Immigrants),3964.0,2012 ,All Illegal Immigrants
252,Southwest,Del Rio,TX,2012 (All Illegal Immigrants),21720.0,2012 ,All Illegal Immigrants
253,Southwest,El Centro,CA,2012 (All Illegal Immigrants),23916.0,2012 ,All Illegal Immigrants
254,Southwest,El Paso,"NM, TX",2012 (All Illegal Immigrants),9678.0,2012 ,All Illegal Immigrants
255,Southwest,Laredo,TX,2012 (All Illegal Immigrants),44872.0,2012 ,All Illegal Immigrants
256,Southwest,Rio Grande Valley,TX,2012 (All Illegal Immigrants),97762.0,2012 ,All Illegal Immigrants
257,Southwest,San Diego,CA,2012 (All Illegal Immigrants),28461.0,2012 ,All Illegal Immigrants
258,Southwest,Tucson,AZ,2012 (All Illegal Immigrants),120000.0,2012 ,All Illegal Immigrants
259,Southwest,Yuma,"CA, AZ",2012 (All Illegal Immigrants),6500.0,2012 ,All Illegal Immigrants
260,Coast,Miami,"FL, GA, SC, NC",2012 (Mexicans Only),831.0,2012 ,Mexicans Only
261,Coast,New Orleans,"LA, AL, MS, FL",2012 (Mexicans Only),277.0,2012 ,Mexicans Only
262,Coast,Ramey,PR,2012 (Mexicans Only),0.0,2012 ,Mexicans Only
263,North,Blaine,"WA, OR",2012 (Mexicans Only),270.0,2012 ,Mexicans Only
264,North,Buffalo,"NY, PA",2012 (Mexicans Only),607.0,2012 ,Mexicans Only
265,North,Detroit,"OH, MI, IN, IL",2012 (Mexicans Only),673.0,2012 ,Mexicans Only
266,North,Grand Forks,"WI, MN, ND",2012 (Mexicans Only),306.0,2012 ,Mexicans Only
267,North,Havre,MT,2012 (Mexicans Only),54.0,2012 ,Mexicans Only
268,North,Houlton,ME,2012 (Mexicans Only),8.0,2012 ,Mexicans Only
269,North,Spokane,"MT, ID, WA",2012 (Mexicans Only),266.0,2012 ,Mexicans Only
270,North,Swanton,"NH, VT, NY",2012 (Mexicans Only),122.0,2012 ,Mexicans Only
271,Southwest,Big Bend,TX,2012 (Mexicans Only),3417.0,2012 ,Mexicans Only
272,Southwest,Del Rio,TX,2012 (Mexicans Only),12404.0,2012 ,Mexicans Only
273,Southwest,El Centro,CA,2012 (Mexicans Only),22511.0,2012 ,Mexicans Only
